物性,機能,concern_content,location,mechanism,affected_parameters,affected_function
分子構造・分子量,膜の化学的劣化抑制,高分子骨格のクロスリンク構造消失,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,分岐点やクロスリンク構造が酸化分解・加水分解などの化学プロセスを経て消失し、ネットワーク強度と結合密度が大きく低下するため、膜の寸法安定性や機械的強度が損なわれる。,クロスリンク密度の低下、ヤング率の低下、耐クリープ性の低下,膜の寸法安定性維持・機械的強度
分子構造・分子量,膜の化学的劣化抑制,官能基の脱離・損耗（イオン交換基の消失）,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,強酸性環境下でスルホン酸基（－SO3H）やその他のイオン交換基が加水分解・酸化分解され、骨格から脱離することによりイオン伝導パスが消失しプロトン導電率が顕著に低下する。,官能基数密度の減少、プロトン伝導率の低下、IEC（イオン交換容量）の低下,膜のプロトン伝導性・膜抵抗の悪化
分子構造・分子量,耐振動・耐衝撃性,分子鎖切断,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,高分子電解質膜が機械的振動・衝撃反復下で応力集中点に局所的な分子鎖配向・伸長が生じ、繰り返し応力によって分子鎖切断（分子量劣化）が発生する。これによりネットワーク構造が不完全となる。,分子量の低下、平均鎖長の減少、テンシル強度の低下,セル内発電部位の機械的強度・寸法安定性低下により、積層体の密閉性や耐振動性の損失
分子構造・分子量,耐振動・耐衝撃性,結晶―非晶界面でのマイクロクラック,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,分子量低下や構造劣化により電解質高分子の結晶性が局所的に損なわれ、繰り返し振動によって結晶域と非晶域の界面に応力集中。界面剥離や微細クラックが集積する。,クラック密度・分布、伸び率の低下,ガス・水素クロスリーク、耐衝撃性の低下
分子構造・分子量,耐振動・耐衝撃性,カーボン担体表面の微細孔崩壊,1. セル内部・微細構造層 ＞ 触媒層（カーボン担体）,触媒層のカーボン担体は分子量の低下や結合劣化により多孔構造が脆弱化し、振動加重下で微細孔がつぶれやすくなる。,比表面積の低下、細孔径の変化、空隙率の減少,ガス拡散・比表面積維持機能低下による触媒性能劣化
分子構造・分子量,耐振動・耐衝撃性,MEAM界面でのデラミネーション,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,分子構造の均一性低下や分子量劣化に起因し、膜－触媒界面親和性・密着性が低下。外的な振動・衝撃で界面剥離（デラミネーション）が進展する。,界面付着強度の低下、剥離面積の増大,電気化学反応領域の短絡・ガスリーク発生、セル抵抗増大、耐衝撃性の喪失
プロトン移動特性,オーム損（膜抵抗）低減,高分子骨格の架橋密度低下によるプロトン伝導経路の寸断（断絶）,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,高温・高湿環境や化学的劣化（ラジカル発生、加水分解など）により高分子鎖間架橋や側鎖切断が発生し、連続したプロトン伝導経路が部分的に喪失される。これにより、局所的にプロトン伝導性が著しく低下、オーム抵抗が増加する。,膜内抵抗値（Ω・cm²）が増大,オーム損低減機能（低抵抗維持）
プロトン移動特性,オーム損（膜抵抗）低減,含水領域の脱水によるプロトン伝導経路の細化・断裂,1. セル内部・微細構造層 ＞ 電解質膜（含水領域）,低加湿、起動・停止サイクル、局所乾燥等により膜内部の含水率が低下し、水和クラスタが破壊され、Grotthuss型プロトン伝導経路が寸断される。これにより、プロトン伝導度が著しく低下し、膜抵抗が増大する。,膜含水率が低下・プロトン伝導度（S/cm）が低下・膜抵抗値が増大,オーム損低減機能
プロトン移動特性,オーム損（膜抵抗）低減,アイオノマーネットワークの物理的収縮・膨潤による伝導経路寸断・膨潤不均一性,1. セル内部・微細構造層 ＞ 触媒層（アイオノマーネットワーク）,高湿・乾湿サイクルによる膨潤収縮ストレスでアイオノマー構造が局所的に破断・脱離し、触媒層内のプロトン移動経路が寸断される。部分的に接触抵抗が増大、またはアイオノマー薄膜化・断裂が起こる。,触媒層内プロトン伝導抵抗値が増大・局所アイオノマー分布異常,オーム損低減機能
ガス透過性,内部クロスリーク抑制,高分子骨格の微細孔・疎水性領域におけるガス透過路の形成・拡大（ガス透過経路の形成）,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,"高温・高湿・電位勾配下で、電解質高分子鎖の鎖切断や架橋解重合が進行し、分子密度の局所的な低下や自由体積の拡大が起こる。これによりガス種（H2, O2）の分子運動が促進され、非意図的なガス透過経路が発生する。特にクラックやナノボイド形成により急激なガスリークが発生する。",ガス透過度・漏洩流量：増大,内部クロスリーク抑制不全
ガス透過性,内部クロスリーク抑制,電解質膜/触媒層界面部での層間剥離・隙間の生成,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,起動停止時の膨張収縮サイクル・水分蒸発の繰返しで、異種材料間の界面応力が蓄積され、層間密着力が低下することで微小な剥離や隙間が形成し局所的にバリア機能が低下、ガス分子が界面リークする経路となる。,界面隙間寸法・剥離面積：増大,内部クロスリーク抑制不全
ガス透過性,内部クロスリーク抑制,炭素繊維基材内のピンホール・亀裂形成によるガスバイパス路の出現,1. セル内部・微細構造層 ＞ ガス拡散層（炭素繊維基材）,サイクル繰返しや加圧による機械的応力集中、加湿制御不良による膨潤収縮ストレス、または腐食性雰囲気により炭素繊維間の結合が劣化し、ピンホールやミクロクラックが形成することでガスが急速に拡散層をバイパスする経路が生じる。,ガスバリア性（気密度）：低下,内部クロスリーク抑制不全
補強材の有無/種類,耐振動・耐衝撃性,割れ（クラック）発生,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,補強材が適切に配置されていない場合や補強材自体が脆弱な場合、起動/停止や運転中の振動・外部衝撃による繰返し応力が電解質膜の分子鎖配列に局所的な応力集中を招き、膜断面や端部に亀裂が発生。補強材が無い、もしくは種別・配置が不十分である場合、膜の塑性変形許容量が低下し、機械的な歪みを吸収しきれず不可逆的なクラックとして顕在化する。,破断強度の低下、膜伸び率の減少、ヤング率の変化,耐振動・耐衝撃機能低下によるセル寿命短縮
補強材の有無/種類,耐振動・耐衝撃性,層間剥離（デラミネーション）,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,振動や衝撃の繰返し荷重により、補強材による剛性の違いが電解質膜と触媒層の界面に剪断応力を発生させ、樹脂−補強材界面もしくは膜−触媒層界面で層間剥離が生じる。特に補強材の種類・界面設計が不適切な場合、界面の付着強度が劣化しやすい。,界面付着強度の低下、界面抵抗の増加,外力時の積層体構造健全性の悪化、ガスリーク進展
補強材の有無/種類,耐振動・耐衝撃性,細孔構造の破壊（微細内部剥離や孔径拡大）,1. セル内部・微細構造層 ＞ ガス拡散層（炭素繊維基材）,補強材の種類によって繊維間の機械的結合力や硬さが変化し、振動や衝撃荷重が局所的に集中することで基材内部の細孔構造が圧壊または繊維束の間で微細な剥離が進む。これによりガス拡散層の流路径や空隙率が不可逆的に変化する。,空隙率の減少、孔径分布の偏り、厚みムラの増大,ガス輸送経路の閉塞・ばらつきによる発電の安定性低下
補強材の有無/種類,膜の膨潤圧制御,塑性変形・不均一膨潤（塑性的な寸法変化）,1. セル内部・微細構造層 ＞ 電解質膜（高分子骨格）,膜への補強材が不十分、もしくは補強形状に偏りがある場合、膜内部に水分が浸透した際に、膨潤挙動が補強の有無・分布によって局所的に抑制／非抑制される。その結果、補強不在部では高分子鎖の可動範囲が増大し、局所的な塑性変形や応力が集中する。高分子鎖に沿った膨潤が進行し、不均一な応力分布が生じる。,膨潤圧（増加・局所最大化）、寸法変化量（増加）,膜の寸法安定性、スタック内押し圧バランス
補強材の有無/種類,膜の膨潤圧制御,界面剥離・クラック発生（補強材界面）,2. 部材間界面 ＞ 電解質膜 / 触媒層 界面,補強材が高分子骨格内に存在し、その補強材と周辺ポリマー材料間の密着・相溶性が不十分な場合、湿潤時の反復膨潤・収縮ストレスが界面に集中する。分子レベルでの応力伝達不良により、界面に微小なクラックや剥離が発生する。,界面密着強度（低下）、クラック長さ/個数（増加）,ガスバリア性・リーク抑制能力
補強材の有無/種類,膜の膨潤圧制御,細孔閉塞・流体輸送不均一,1. セル内部・微細構造層 ＞ 電解質膜（含水領域）,補強材の種類・分布による親水性・親水パスの非均一化により、一部領域で流体（水やガス）の動的経路が阻害され、局所的な細孔の閉塞や含水異常を誘発する。イオン伝導経路の偏りやガス透過の不均一性が顕著になる。,含水率分布（局所過飽和/乾燥）、細孔径分布（閉塞化）,イオン伝導均一性、ガス透過安定性
白金(Pt)担持量,触媒反応活性の維持,白金粒子の溶出・移動による表面積の減少（粗大化・凝集）,1. セル内部・微細構造層 ＞ 触媒層・白金粒子表面,高温多湿・強酸性雰囲気および電位サイクル（昇降負荷運転）下で、白金が酸化・還元を繰り返すことで溶出し、粒子間で再析出または集積（Ostwald ripening、粒子成長）が進む。これにより、白金のナノ粒子が凝集・粗大化し、比表面積が低下する。,白金比表面積の減少、粒径分布の増大,O2還元反応活性の低下（発電性能低下）
白金(Pt)担持量,触媒反応活性の維持,白金の担体からの脱落・流出,1. セル内部・微細構造層 ＞ 触媒層・カーボン担体,セルの長期運転中、カーボン担体の腐食や液相移動を伴う洗い流しが生じると、白金粒子が担体から脱離・逸脱する現象が起こる。これにより触媒層内の活性点が減少。,触媒層中の白金担持量の減少（ppm単位、面積あたりmgPt/cm2の低下）,触媒反応サイト総数の減少（初期活性の大幅低下）
白金(Pt)担持量,触媒反応活性の維持,白金粒子の表面被毒・被覆（酸不純物や硫黄系ガス吸着）,1. セル内部・微細構造層 ＞ 触媒層・白金粒子表面,反応ガス中に極微量含まれる硫黄化合物やアニオン性不純物が白金表面に選択吸着し、化学吸着による被覆状態を形成。触媒表面の有効活性面積が不可逆的に減少。,Ptの有効表面積（ECSA）が低下,酸素還元反応（ORR）活性の低下
白金(Pt)担持量,触媒反応活性の維持,白金の析出物によるイオノマークロギング・細孔閉塞,1. セル内部・微細構造層 ＞ 触媒層・アイオノマーネットワーク,溶け出した白金がイオノマー中に再析出し、イオノマー細孔部や界面で沈着。ガス拡散やプロトン伝導の経路を物理的に閉塞し局所反応活性を阻害する。,細孔径分布の減少、有効伝導経路長の増加,O2供給・プロトン輸送の局所障害（発電性能局所低下）
I/C比,フラッディング耐性,細孔閉塞（pore blocking）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,I/C比が高くなると、アイオノマーがガス拡散層（GDL）や触媒層の細孔内に過剰堆積し、細孔径が減少あるいは閉塞される。これにより、疎水性維持が困難となり、水生成時に水が排出されず細孔内に閉じ込められやすくなる。さらに、毛細管力の分布が変化し水移動性が悪化。結果として生成水が排水されずに滞留しやすい物理的環境を形成する。,細孔率・細孔径（減少）、疎水性（低下）,フラッディング耐性（生成水の排出機能）
I/C比,フラッディング耐性,親水化（hydrophilization）,1. セル内部・微細構造層 ＞ 触媒層・アイオノマーネットワーク,I/C比が高いことで触媒層中のナフィオン等アイオノマー量が増大し、触媒層表面の親水性が顕著となる。この結果、表面自由エネルギーが増加し、生成水の濡れ広がりを助長。水が広範囲に薄膜状に広がり、ガス輸送経路を塞ぎやすくなる。,表面エネルギー（増加）、表面接触角（減少）,フラッディング耐性（気体拡散経路の維持能力）
I/C比,フラッディング耐性,水膜ブロッキング（liquid film blocking）,2. 部材間界面 ＞ 触媒層 / GDL 界面,I/C比が実装条件より高い場合、触媒層とGDLの界面においてアイオノマーが過剰になり、親水性の薄膜が広がりやすくなる結果、液体水が界面で広がりやすくなる。これによりガス通過経路が膜状の水で塞がれ、部分的にフラッディングが発生する。,界面の水膜厚み（増大）、接触抵抗（増加）,フラッディング耐性（界面でのガス透過性）
層厚み,酸素輸送抵抗の低減,層構造の過剰な圧縮・塑性変形,1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材,MEA組立や作動時の締結圧・セル圧による応力集中で、GDLや撥水層に塑性変形ないしせん断変形が生じ、設計層厚が減少。細孔構造がつぶれ、ガス拡散経路が減少/長大化する。,GDL層厚みの減少、細孔径分布の変化、空隙率減少,酸素の生存経路減少による拡散抵抗上昇
層厚み,酸素輸送抵抗の低減,加湿過多や生成水滞留による細孔内の閉塞,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,多湿運転や生成水管理不良時、GDLやMPLの細孔空間に液相水が過剰に滞留し、酸素ガス経路が局部的に遮断・細る。細孔の閉塞により実質的な有効層厚が減少する。,有効な細孔面積・有効層厚の減少,酸素拡散経路の狭窄化による酸素輸送抵抗増大
層厚み,酸素輸送抵抗の低減,ガス流路下のGDL層厚バラツキ・部分的減肉,2. 部材間界面 ＞ GDL / セパレータ 界面・流路下領域,加圧や長期運転、着座不良・振動により、GDL層厚がセル面内で不均一となり、特にリブ領域で層厚の減少（減肉）が起きる。部分的にガス流動分布が偏ることで、酸素輸送経路のバラツキが顕在化。,面内GDL層厚均一性の悪化・最小層厚減少,酸素供給の局部阻害（酸素濃度分布ムラ）による局所拡散抵抗の上昇
細孔容積・構造,酸素輸送抵抗の低減,細孔閉塞（細孔容積の減少・径の縮小）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,長期運転時の生成水・湿気、または有機・無機物質の析出により、ガス拡散層（GDL）細孔内に生成物が堆積・詰まり、細孔径や容積が物理的に減少する。分子スケールでは水分子や析出粒子が細孔構造を埋めることで、ガスの輸送経路が遮断・狭窄される。,細孔容積・細孔径の減少、ガス拡散係数の低下,酸素透過性低下による酸素輸送抵抗の増大
細孔容積・構造,酸素輸送抵抗の低減,細孔構造改変（細孔の連続性・分布の異常）,1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材,起動停止などの熱サイクルや加湿・乾燥環境の繰り返しにより、GDL炭素繊維同士の接合部に微細な移動・塑性変形・繊維自体の破断が発生し、細孔ネットワークの連続性が崩れ、連通細孔が途切れやすくなる。これにより酸素分子の拡散経路が複雑化・長大化する。,細孔ネットワークの連続性低下、トータル輸送経路長の増加,酸素輸送抵抗の増大
細孔容積・構造,酸素輸送抵抗の低減,撥水層の親水化（細孔内壁の表面エネルギー変化）,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,高電位動作やラジカル発生により、撥水層（PTFEなど）が酸化劣化し、撥水性基（-CF2-など）が脱離、親水性官能基（-COOH等）が導入され、細孔内壁が親水化する。これにより液水が保持・滞留しやすくなり、細孔内のガス経路が水で塞がれやすくなる。,接触角の低下、細孔内液水分率の増加,酸素輸送の実効断面積減少→輸送抵抗増大
細孔容積・構造,フラッディング耐性,細孔閉塞（ポア閉塞）：細孔内部に液相水が滞留または析出し、本来のガス拡散経路が物理的に狭窄/遮断される状態,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,運転中の高湿度負荷時に、細孔サイズ分布が微細化（親水化や加圧応力による微細孔化）あるいは細孔表面への析出・付着物増加により、毛細管圧のバランスが崩れ液水が排出されにくくなる。これによりガス流通路としての細孔が水で塞がれ、気体拡散係数が顕著に低下する。,細孔径・細孔容積の有効値が減少し、ガス透過率が大幅に減少（設計仕様：細孔径中央値・細孔容積mL/g・ガス透過率等）,反応ガス供給機能／液水排出機能（＝フラッディング耐性）
細孔容積・構造,フラッディング耐性,撥水性低下：微細孔壁面の表面エネルギー変化により液水の保持・排出挙動が変化する状態,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,高温多湿環境や電位変動下において、PTFE等の撥水剤が脱落・分解・劣化することで表面が親水化。水との接触角が低下し、壁面に水が親和的に付着→細孔内で水が長時間滞留しやすくなる。,表面接触角が減少（設計仕様：初期接触角＞○°）、毛細管圧分布値（capillary pressure）変動,反応ガス透過／水排出経路維持機能（＝フラッディング耐性）
細孔容積・構造,フラッディング耐性,構造圧密・変形：ガス拡散層細孔ネットワークが外部圧力や加圧取り付けによって圧密し、細孔体積が不可逆的に減少する現象,1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材,スタック締結荷重や運転中の温度サイクル（熱膨張/収縮）によってGDL内部の炭素繊維マトリックスが圧縮変形。これにより細孔径縮小、経路の途絶が生じ気相拡散路が狭窄。二次的に液溜り（ウォーターポケット）部位が形成されやすくなる。,体積密度・細孔体積分率が増加／無効ガスポケット率の増加,ガス供給均一性／液水排出維持（＝フラッディング耐性）
空隙率,酸素輸送抵抗の低減,細孔閉塞（空隙の充填・詰まり）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,ガス拡散層（GDL）や触媒層の細孔部位で、水分凝縮あるいは生成物による析出が起きることで、設計上確保すべき空隙（細孔）が占有される。これにより通気路が狭くなり、酸素輸送パスの連続性が損なわれる。湿度サイクルやドライ／ウェット繰返し、二次生成物の析出によって不可逆的な閉塞が進行。,空隙率が減少（％減）、細孔径の平均値が設計値以下に低下,酸素輸送抵抗の増大（O2拡散遅延）（定格出力時の酸素供給性能不全）
空隙率,酸素輸送抵抗の低減,細孔構造の崩壊・変形（細孔径分布の偏り）,1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材,高圧縮荷重やスタック締結応力、長期的な応力集中、または化学的腐食（酸化）によって、炭素繊維基材や細孔構造自体が不可逆的に塑性変形あるいは破壊される。これにより大径細孔の減少や細孔塞ぎが生じる。,空隙率が時間経過とともに低下、空隙連通度悪化,酸素輸送抵抗の増大・不均一化（セル反応分布の偏り）
空隙率,酸素輸送抵抗の低減,カーボン担体の腐食による微細空隙の消失,1. セル内部・微細構造層 ＞ 触媒層・カーボン担体,高電位バイアスや自己呼吸モード、スタートアップ／シャットダウン時の急峻な電位変動下でカーボン担体が酸化し、微細空隙が消失、骨格自体が収縮・崩壊。触媒層のガス拡散パスが減少する。,空隙率の減少、比表面積の減少,酸素輸送抵抗増大および利用率低下
空隙率,フラッディング耐性,細孔閉塞（空隙率の局所的減少・目詰まり）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,高湿度環境下での水生成や吸湿により、ガス拡散層の細孔内に液水が蓄積。さらに液水が排出されずに滞留すると、カーボン繊維間隙や撥水層内で閉塞が生じ、空隙率が低下する（毛細管凝集または界面張力依存の液体ブロッキング）。その結果、ガスや水の輸送経路が奪われる。,空隙率（％）、細孔径分布（μm）、通気抵抗（増大）,フラッディング耐性（ガス輸送機能低下、電極利用率低下）
空隙率,フラッディング耐性,撥水層の浸潤（親水化進行）,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,高温多湿・長時間運転下でPTFE等の撥水材が分解・流亡あるいは加水分解を受け、撥水性が失われる。これによりガス拡散層表面が親水化し、水の付着性が高まり、細孔に水が容易に浸入・閉塞しやすくなる。,表面接触角（減少）・空隙率（局所減少）,フラッディング耐性（ガス輸送、排水性の低下）
空隙率,フラッディング耐性,アイオノマー分布の偏在・析出（細孔内フィリング）,1. セル内部・微細構造層 ＞ 触媒層・アイオノマーネットワーク,アイオノマーが過剰に局在した場合や経時変化で析出・移動した場合に、触媒層やGDL細孔内に浸入して細孔部を埋める。これにより空隙率が低下し、ガス輸送経路が遮断される。,空隙率（減少）、アイオノマー質量分率（増大）,フラッディング耐性（ガス拡散・供給機能不全）
空隙率,流路圧力損失の適正化,細孔閉塞（ポアブロッケージ）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,ガス拡散層（GDL）への液水の生成・浸入や生成物の析出に伴い、細孔内部の一部が液体や析出物で満たされることで空隙が失われ、ガス流路が物理的に閉塞する。これにより空隙率が局所的・全体的に減少する。,空隙率（％）の減少、通気度の低下、局所圧力上昇,流路圧力損失の増大、ガス供給不均一化による反応阻害
空隙率,流路圧力損失の適正化,圧密変形（コンパクション）による空隙構造の破壊,1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材,スタック締結時などに加わる外部機械応力や熱サイクル（膨張・収縮）によって、炭素繊維ネットワークが塑性的あるいは弾塑性的に変形し、空隙構造が押しつぶされることで空隙率が低下する。,ガス拡散層の空隙率（％）・厚みの減少、透過係数の低下,流路圧力損失の増加、質量輸送の妨害
空隙率,流路圧力損失の適正化,疎水層（MPL）の親水化（フッ素樹脂劣化）,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,高温・高湿・酸化環境下で撥水剤（PTFE等）が化学的に分解/劣化し、微細多孔体表面が親水化。水の浸入・保持が促進されて本来の空隙の効果的なガス移動が阻害される。,接触角（撥水性）の減少、空隙内・表面の液保持量増加,圧力損失の増加、局所局流の発生
空隙率,流路圧力損失の適正化,セパレータ流路溝の固体析出（スケーリング）,3. セル構成部材 ＞ セパレータ流路・ガス流路溝,冷却水や反応生成物中の不純物（シリカ、カルシウム等）が析出・堆積し、流路の一部が塞がれることで有効流断面が狭まり、空隙率が局所的に減少する。,有効流路断面積の減少、圧力損失係数の増大,圧力損失の増加、ガス/冷却流の偏流・停滞
撥水性(PTFE),フラッディング耐性,撥水層の疎水性低下による浸潤領域の拡大（親水化）,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,フルオロポリマー（PTFE）中のフッ素官能基が、長期の高温・高湿・強酸化的なセル環境下で加水分解や酸化分解を受けて脱落し、分子全体が親水化へ転化。これにより表面エネルギーが増大し、液水が浸透しやすくなる。細孔構造への液体水の浸潤閾値が低下する。,撥水層表面の接触角（低下）、表面自由エネルギー（上昇）、空隙率の局所充水率（増加）,フラッディング耐性（ガス透過性の維持・水排出能）
撥水性(PTFE),フラッディング耐性,細孔内PTFEの膨潤・流動による微細孔の閉塞（細孔閉塞）,1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部,周期的なセル加湿変動や高温・圧力下でPTFEが溶融・移動し、微細孔内に再配置される。結果、ガス通流に寄与する連続細孔径が減少し、水分子・液体水が溜まりやすくなる。,細孔径分布（平均径低下、閉塞孔割合増加）、ガス透過率（低下）、液水排出流量（低下）,フラッディング耐性（ガス供給経路の維持）
撥水性(PTFE),フラッディング耐性,PTFE分散不均一化による撥水層厚み局所減少（膜薄膜化・脱落）,1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL,高加湿状態やガスフロー剪断応力、多孔質基材との界面剥離によってPTFE膜厚が局所的に減少・消失。局部的な疎水性能喪失に起因し局所水浸潤が発生、ガス阻害箇所となる。,撥水層厚さ（局所的減少）、膜面積当たりのPTFE被覆率（低下）,フラッディング耐性（均一な水排出性）
材質(C/Ti),界面接触抵抗の低減,表面酸化皮膜の増厚,3. セル構成部材 ＞ セパレータ・表面保護膜/処理層,セル内で高湿度・高電位環境下、チタン（Ti）やカーボン（C）基材表面に自然発生的に酸化皮膜（TiO2や炭素の酸化物）が生成・成長する。これにより、電子のトンネル効果が阻害され、界面の電気伝導性が低下する。特に始動・停止時や高電位印加時に加速される。,界面接触抵抗値（増加）、表面酸化膜厚（増加）,界面接触抵抗の低減（機能不全：目標値を上回る接触抵抗）
材質(C/Ti),界面接触抵抗の低減,接触部の弾塑性変形／マイクロクラックの発生,3. セル構成部材 ＞ セパレータ・基材内部,締結応力や堆積応力により、金属/カーボンセパレータの表層～内部に微小な弾塑性変形やクラックが発生。これによりマイクロコンタクトの面積が減少し、接触抵抗が局所的に増加しやすくなる。湿潤状態では腐食とも連動。,表面粗さパラメータ（増加）、マイクロ接触面積（減少）,界面接触抵抗の低減（接触面積減少による局所抵抗増大）
材質(C/Ti),界面接触抵抗の低減,界面の微視的な剥離／空隙（ボイド）形成,2. 部材間界面 ＞ GDL／セパレータ界面・接触点,繰返し熱応力やセル発熱・乾湿サイクルにより、界面にボイドや剥離が発生。粘着力や機械的密着性が低下し、電子の流れるパスが限定される。C/Ti材料の熱膨張差も影響する。,界面空隙率（増加）、接触率（減少）,界面接触抵抗の低減（局所空隙による伝導経路途絶/抵抗増大）
